secao;descricao;bitola;cor;codigo;qtd;unid;metros;preco_unit;total_linha;desc_totvs;obs
Cabo Tripolar;PP 3 vias HEPR 0,6/1kV 3x10mm;10mm;PRETO;011127F0001PT00;1121.87;m;1121.87;47,2400;52997,1400;CABO PP FLEXIVEL HEPR 0,6/1,0KV 3X10,00MM 1M PT;tripolar HEPR so existe em preto | so existe por metro na tabela
Cabo Tripolar;PP 3 vias HEPR 0,6/1kV 3x2,5mm;2.5mm;PRETO;011124B0500PT00;1;bobina 500m;500;6130,4797;6130,4800;BOB CABO PP FLEXIVEL HEPR 0,6/1,0KV 3X2,50MM 500M PT;tripolar HEPR so existe em preto
Cabo Tripolar;PP 3 vias HEPR 0,6/1kV 3x2,5mm;2.5mm;PRETO;011124R0100PT00;2;rolo 100m;200;1226,0959;2452,1900;CABO PP FLEXIVEL HEPR 0,6/1,0KV 3X2,50MM 100M PT;tripolar HEPR so existe em preto | pedido 600.42m -> 700m (sobra 99.58m)
Bombeiro;Cabo 3 vias 1,5mm BLINDADO (shield) vermelho;1.5mm;-;SOB CONSULTA;2500;m;2500;;;;Nao ha cabo blindado na tabela - cotar com fornecedor especifico
Bombeiro;Fio flexivel 750V 1,5mm;1.5mm;VERMELHO;010404B1400VM00;1;bobina 1400m;1400;2791,8761;2791,8800;BOB FLEXIVEL 1,50 MM 1400M VM;fio bombeiro 750V
Bombeiro;Fio flexivel 750V 1,5mm;1.5mm;VERMELHO;010404R0100VM00;11;rolo 100m;1100;199,4197;2193,6200;CABO FLEXIVEL 1,50 MM 100M VM;fio bombeiro 750V | pedido 2500m -> 2500m (sobra 0m)
Bombeiro;Fio flexivel 750V 1,5mm;1.5mm;PRETO;010404B1400PT00;1;bobina 1400m;1400;2791,8761;2791,8800;BOB FLEXIVEL 1,50 MM 1400M PR;fio bombeiro 750V
Bombeiro;Fio flexivel 750V 1,5mm;1.5mm;PRETO;010404R0100PT00;11;rolo 100m;1100;199,4197;2193,6200;CABO FLEXIVEL 1,50 MM 100M PR;fio bombeiro 750V | pedido 2500m -> 2500m (sobra 0m)
Bombeiro;Fio flexivel 750V 1,5mm;1.5mm;VERDE;010404B1400VD00;1;bobina 1400m;1400;2791,8761;2791,8800;BOB FLEXIVEL 1,50 MM 1400M VD;fio bombeiro 750V
Bombeiro;Fio flexivel 750V 1,5mm;1.5mm;VERDE;010404R0100VD00;11;rolo 100m;1100;199,4197;2193,6200;CABO FLEXIVEL 1,50 MM 100M VD;fio bombeiro 750V | pedido 2500m -> 2500m (sobra 0m)
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 2.5mm;2.5mm;PRETO;011102B1000PT00;6;bobina 1000m;6000;3480,8498;20885,1000;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 2,50MM 1000M PT    -    Sob Consulta;inclui amarelo->preto
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 2.5mm;2.5mm;PRETO;011102B0500PT00;1;bobina 500m;500;1740,4249;1740,4200;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 2,50MM 500M PT    -    Sob Consulta;inclui amarelo->preto
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 2.5mm;2.5mm;PRETO;011102R0100PT00;4;rolo 100m;400;348,0850;1392,3400;CABO FLEXIVEL HEPR 0,6/1,0KV 2,50MM 100M PT;inclui amarelo->preto | pedido 6807.5m -> 6900m (sobra 92.5m)
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 2.5mm;2.5mm;AZUL;011102B1000AZ00;6;bobina 1000m;6000;3480,8498;20885,1000;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 2,50MM 1000M AZ    -    Sob Consulta;
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 2.5mm;2.5mm;AZUL;011102B0500AZ00;1;bobina 500m;500;1740,4249;1740,4200;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 2,50MM 500M AZ    -    Sob Consulta;pedido 6123.6m -> 6500m (sobra 376.4m)
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 2.5mm;2.5mm;VERDE;011102B1000VD00;2;bobina 1000m;2000;3480,8498;6961,7000;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 2,50MM 1000M VD    -    Sob Consulta;
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 2.5mm;2.5mm;VERDE;011102B0500VD00;1;bobina 500m;500;1740,4249;1740,4200;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 2,50MM 500M VD    -    Sob Consulta;pedido 2255.3m -> 2500m (sobra 244.7m)
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 4mm;4mm;PRETO;011103B1000PT00;6;bobina 1000m;6000;5316,8551;31901,1300;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 4,00MM 1000M PT    -    Sob Consulta;inclui amarelo->preto | pedido 5816.1m -> 6000m (sobra 183.9m)
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 4mm;4mm;AZUL;011103B1000AZ00;3;bobina 1000m;3000;5316,8551;15950,5700;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 4,00MM 1000M AZ    -    Sob Consulta;
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 4mm;4mm;AZUL;011103B0800AZ00;3;bobina 800m;2400;4253,4841;12760,4500;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 4,00MM 800M AZ    -    Sob Consulta;pedido 5368.7m -> 5400m (sobra 31.3m)
Cabo Unipolar;Cabo flexivel HEPR 0,6/1kV 4mm;4mm;VERDE;011103B1000VD00;1;bobina 1000m;1000;5316,8551;5316,8600;BOB CABO FLEXIVEL HEPR 0,6/1,0KV 4,00MM 1000M VD    -    Sob Consulta;
